cui,code
C0158548,PheCode:753.1
C2349615,PheCode:679.0
C0268029,PheCode:276.4
C0159065,PheCode:579.0
C1561828,PheCode:285.21
C0156313,PheCode:601.8
C0019326,PheCode:550.5
C0375489,PheCode:694.2
C1142132,PheCode:277.8
C0002892,PheCode:281.11
C1145628,PheCode:337.0
C4551932,PheCode:381.1
C0029899,PheCode:383.0
C0019069,PheCode:286.13
C0005779,PheCode:286.0
C2717961,PheCode:446.8
C1442902,PheCode:726.0
C0019360,PheCode:53.0
C0270890,PheCode:353.0
C0152198,PheCode:368.7
C0155679,PheCode:420.21
C1963211,PheCode:420.2
C0027430,PheCode:471.0
C1963154,PheCode:585.0
C1305875,PheCode:610.2
C0156407,PheCode:627.0
C0273346,PheCode:871.0
C1963068,PheCode:427.22
C0155709,PheCode:427.2
C0155734,PheCode:440.1
C0029421,PheCode:732.7
C0152091,PheCode:732.0
C0496836,PheCode:190.0
C0008373,PheCode:385.3
C0155472,PheCode:385.0
C0024103,PheCode:611.3
C1719602,PheCode:649.0
C4553221,PheCode:370.1
C1557321,PheCode:370.0
C0015674,PheCode:798.1
C0024528,PheCode:798.0
C0022408,PheCode:716.9
C0020649,PheCode:458.9
C0086981,PheCode:709.2
C1962983,PheCode:366.0
C0030312,PheCode:284.1
C1531394,PheCode:656.8
C0810060,PheCode:747.0
C0040147,PheCode:245.0
C2830589,PheCode:611.11
C0262365,PheCode:611.1
C0585442,PheCode:170.1
C0809965,PheCode:170.0
C0036220,PheCode:230.0
C0003469,PheCode:300.1
C0003469,PheCode:300.0
C1449744,PheCode:360.2
C0031707,PheCode:275.53
C0154260,PheCode:275.0
C0266929,PheCode:523.32
C0037859,PheCode:603.2
C0156408,PheCode:627.4
C0476690,PheCode:1089.0
C0024137,PheCode:695.41
C0029481,PheCode:790.6
C0260334,PheCode:501.0
C0392503,PheCode:560.2
C0020461,PheCode:276.13
C1456303,PheCode:291.1
C2931384,PheCode:433.32
C0007785,PheCode:433.3
C0036421,PheCode:709.3
C0029591,PheCode:277.5
C0235604,PheCode:287.4
C1318533,PheCode:289.8
C0391870,PheCode:289.9
C0036278,PheCode:701.2
C0274869,PheCode:985.0
C0029570,PheCode:277.6
C3499372,PheCode:327.6
C0159849,PheCode:800.4
C1542178,PheCode:800.0
C0030489,PheCode:270.32
C3875058,PheCode:270.3
C0004106,PheCode:367.2
C4553526,PheCode:540.1
C0810346,PheCode:654.0
C0042063,PheCode:751.0
C0494158,PheCode:189.11
C0809969,PheCode:189.1
C0158298,PheCode:724.9
C0686619,PheCode:198.1
C0008827,PheCode:571.51
C0029546,PheCode:571.5
C0042870,PheCode:261.4
C0005716,PheCode:117.3
C4553963,PheCode:252.1
C1522133,PheCode:272.11
C0034933,PheCode:350.5
C0152251,PheCode:695.1
C0809967,PheCode:184.0
C0156264,PheCode:594.2
C0236816,PheCode:300.8
C0017672,PheCode:529.6
C0031212,PheCode:301.0
C0158712,PheCode:754.0
C0034212,PheCode:686.5
C0038363,PheCode:528.12
C0032633,PheCode:705.1
C0017086,PheCode:791.0
C0011630,PheCode:110.2
C0271086,PheCode:362.5
C1850959,PheCode:364.51
C0010036,PheCode:364.5
C1142536,PheCode:480.13
C0004626,PheCode:480.1
C0154049,PheCode:228.1
C0677607,PheCode:245.2
C0028768,PheCode:300.3
C0029769,PheCode:704.8
C0159054,PheCode:516.0
C0155933,PheCode:522.0
C0028962,PheCode:599.6
C0007861,PheCode:614.51
C0153999,PheCode:218.0
C0332544,PheCode:278.4
C1561827,PheCode:278.0
C2004435,PheCode:441.0
C0231471,PheCode:781.2
C0496897,PheCode:224.0
C0029496,PheCode:286.7
C0022575,PheCode:375.1
C2240369,PheCode:426.91
C0028790,PheCode:433.2
C0012765,PheCode:527.7
C0036093,PheCode:527.0
C0161599,PheCode:972.0
C0152087,PheCode:274.2
C0809978,PheCode:274.0
C0022411,PheCode:742.1
C0155178,PheCode:939.1
C0184567,PheCode:338.1
C4553004,PheCode:338.0
C0155778,PheCode:454.1
C0042345,PheCode:454.0
C1368404,PheCode:149.3
C0206754,PheCode:209.0
C0014743,PheCode:695.81
C0029794,PheCode:695.8
C0342295,PheCode:250.21
C0022806,PheCode:260.21
C0154338,PheCode:290.3
C0349231,PheCode:300.13
C0026848,PheCode:359.2
C0026849,PheCode:359.0
C0022890,PheCode:386.3
C0032807,PheCode:452.8
C0006625,PheCode:260.1
C0042940,PheCode:473.4
C0242490,PheCode:726.1
C0158326,PheCode:727.0
C0029593,PheCode:253.7
C0159039,PheCode:287.1
C0154143,PheCode:242.2
