"PheCode","CUI"
"038_1","C0152486|C0152936|C0025306|C0152964|C0276063|C0036685|C0276029|C0276088|C0152972|C0152973"
"038_2","C0152946|C0152965|C2349736|C2349737|C0489981|C0152966|C0036686"
"038_3","C0004610"
"041_","C0032064|C0282312|C0152940|C0041351|C0029835|C0003175|C0152947|C0006309|C0302362|C0302363|C0275594|C0494040|C0029527|C0017589|C0025229|C0034686|C0152062|C0152948|C0023860|C0014736|C0030636|C0152949|C0311376|C0012546|C0029764|C0043168|C0043167|C0275742|C0043170|C0025303|C1403891|C0029815|C0152962|C0039614|C0001261|C0001263|C0001264|C2355609|C0001265|C2939130|C0017105|C0035468|C0023788|C0027537|C1955553|C1306794|C0152977|C0041188|C0600327|C0004622|C0032272|C2712605|C0019073|C0033698|C0033816|C0029748|C0374992|C1456246|C0374994|C0374995|C0374996|C1135260|C0374989|C0374991|C0374990|C2349738|C2350012|C0343487|C0036285|C0374982|C0374983|C0374984|C0374985|C0490039|C0374987|C0374988|C0264743|C0035439|C0152113|C0489958|C0014835|C3161036|C3161167|C3161170|C3161462|C0374997|C0375792|C0375777|C0375778|C0375779|C0375780|C0375781|C0375782|C0375783|C0375784|C0375785|C0375786|C0375787|C0375788|C0375789|C0375790|C0375791|C0375793|C0375794|C0024449|C0016717|C0343401|C0038395"
"041_1","C0374989|C0374991|C0374990|C2349738|C2350012|C0343401"
"041_11","C0374990"
"041_12","C2349738|C2350012|C0343401"
"041_2","C0343487|C0036285|C0374982|C0374983|C0374984|C0374985|C0490039|C0374987|C0374988|C0264743|C0035439|C0152113|C0489958|C0038395"
"041_21","C0264743|C0035439|C0152113|C0489958"
"041_4","C0014835|C3161036|C3161167|C3161170|C3161462"
"041_8","C0374997"
"041_9","C0375792|C0375777|C0375778|C0375779|C0375780|C0375781|C0375782|C0375783|C0375784|C0375785|C0375786|C0375787|C0375788|C0375789|C0375790|C0375791|C0375793|C0375794"
"053_","C0019360|C0153030|C0153031|C0276249|C0019366|C0153022|C1264623|C0017409|C0153024|C0153025|C1719297"
"053_1","C0153022|C1264623|C0017409|C0153024|C0153025|C1719297"
"054_","C0019348|C0936250|C0019342|C0019386|C0153033|C0153034|C0029627|C0376379|C0153042|C0153043|C0019359|C0153046|C1719298|C0153047|C0392646|C1955628|C0015231|C2240388|C1274329|C1955633|C0854530|C1504514"
"070_","C0042721|C0153081|C0153083|C0153084|C0153085|C0375011|C0153088|C0153089|C0489954|C0156196|C0156197|C0153075|C1290810|C0153076|C0375000|C0375001|C0375002|C0375003|C0700211|C0375004|C0375005|C0375006|C0375007|C1456261|C0375009|C1456262|C0375012|C0019196|C1456263|C1456265|C0019159|C0019163"
"070_1","C0153075|C1290810|C0019159"
"070_2","C0153076|C0375000|C0375001|C0375002|C0375003|C0700211|C0375004|C0375005|C0375006|C0375007|C0019163"
"070_3","C1456261|C0375009|C1456262|C0375012|C0019196|C1456263|C1456265"
"070_4","C0019189|C0149519|C0241910|C0029545"
"070_9","C0019158"
"071_","C0375021|C0375579|C0476550|C0019693|C0864665"
"071_1","C0019693|C0864665"
"078_","C0043037|C0343642|C0009663|C0042548|C0375013|C0375016"
"079_","C0037354|C1812609|C0001906|C0037358|C0153016|C2349762|C0010232|C0864706|C0026143|C0013570|C0025007|C0153051|C0153053|C0392650|C0035920|C2937267|C0153057|C0153058|C0153060|C0348194|C0153061|C0085273|C0029841|C0153062|C2349858|C0348196|C2349763|C0276180|C2349855|C2368006|C2349765|C0276191|C2349857|C0276214|C0043384|C0032870|C0043395|C0043397|C0043398|C0011311|C0003721|C0019099|C0019103|C0022810|C0153070|C0153071|C0153072|C0153073|C0030372|C0040199|C0029667|C0043124|C0751583|C1456259|C1456260|C0153074|C0003723|C0034494|C0026780|C0153091|C0153094|C0153095|C0153096|C0153097|C0153098|C1306848|C0029291|C0153100|C0153101|C0728910|C0019338|C0032238|C0018572|C0343653|C0153111|C0026393|C0038992|C0007361|C0016514|C0010823|C0019101|C0153112|C0029767|C0155508|C0014498|C0375014|C0859831|C0375026|C0001485|C0013515|C0010244|C0153115|C0375018|C0375019|C0375020|C0375022|C0375023|C1955636|C0375024|C1175175|C1959635|C0375025|C0029842|C0375027|C0153114|C0302424|C0008049|C1719295|C0153019|C0348187|C0348188|C0021345|C0042749|C0042769"
"079_1","C0008049|C1719295|C0153019|C0348187|C0348188"
"079_2","C0021345"
"079_9","C0042749"
"080_","C0695236|C1456233|C0695239|C0392618|C0375728|C0375729|C0302427|C1955550"
"081_","C0161777|C0161778|C0161779|C0161780|C0161781|C0161782|C0161783|C0161784|C0161785|C0695256|C0161786|C3161346|C0018133|C0856825|C2349403|C0867389"
"081_1","C0018133|C0856825|C2349403|C0867389"
"081_11","C0856825|C2349403"
"081_12","C0867389"
