cui,code
C0004936,PheCode:306.1
C0004936,PheCode:291.0
C0004943,PheCode:711.3
C0004943,PheCode:711.3
C0004991,PheCode:208.0
C0004991,PheCode:208.0
C0004992,PheCode:225.1
C0004997,PheCode:220.0
C0004997,PheCode:220.0
C0004998,PheCode:216.0
C0004998,PheCode:216.0
C0005129,PheCode:287.4
C0005411,PheCode:750.2
C0005411,PheCode:750.0
C0005411,PheCode:750.22
C0005586,PheCode:296.1
C0005604,PheCode:665.0
C0005683,PheCode:594.0
C0005683,PheCode:594.2
C0005684,PheCode:189.21
C0005684,PheCode:189.21
C0005686,PheCode:596.0
C0005694,PheCode:596.1
C0005694,PheCode:596.1
C0005716,PheCode:117.3
C0005716,PheCode:117.3
C0005741,PheCode:371.0
C0005741,PheCode:371.3
C0005741,PheCode:371.3
C0005741,PheCode:371.0
C0005741,PheCode:371.0
C0005741,PheCode:371.3
C0005741,PheCode:371.3
C0005745,PheCode:374.3
C0005745,PheCode:374.3
C0005750,PheCode:557.0
C0005779,PheCode:286.0
C0005779,PheCode:286.3
C0005779,PheCode:286.1
C0005779,PheCode:286.0
C0005818,PheCode:287.4
C0005937,PheCode:733.2
C0005937,PheCode:733.2
C0005940,PheCode:743.9
C0005967,PheCode:198.0
C0005967,PheCode:213.0
C0006012,PheCode:301.2
C0006107,PheCode:817.0
C0006107,PheCode:817.0
C0006110,PheCode:348.0
C0006114,PheCode:348.2
C0006118,PheCode:225.0
C0006131,PheCode:749.0
C0006145,PheCode:613.9
C0006145,PheCode:613.9
C0006145,PheCode:610.1
C0006267,PheCode:496.3
C0006267,PheCode:496.3
C0006271,PheCode:504
C0006285,PheCode:480.5
C0006287,PheCode:656.0
C0006370,PheCode:305.0
C0006370,PheCode:305.2
C0006384,PheCode:426.3
C0006386,PheCode:735.3
C0006430,PheCode:528.0
C0006434,PheCode:1000.0
C0006434,PheCode:1000.0
C0006444,PheCode:727.2
C0006444,PheCode:726.3
C0006444,PheCode:726.3
C0006542,PheCode:500.1
C0006542,PheCode:500.0
C0006625,PheCode:260.1
C0006625,PheCode:772.1
C0006625,PheCode:260.1
C0006666,PheCode:275.5
C0006818,PheCode:8.5
C0006826,PheCode:1010.2
C0006840,PheCode:112.0
C0006840,PheCode:112.0
C0006842,PheCode:112.3
C0006842,PheCode:112.3
C0006846,PheCode:112.3
C0006915,PheCode:714.1
C0007078,PheCode:686.1
C0007095,PheCode:259
C0007095,PheCode:198
C0007102,PheCode:153.2
C0007102,PheCode:153.2
C0007103,PheCode:182.0
C0007107,PheCode:149.4
C0007107,PheCode:149.4
C0007107,PheCode:149.0
C0007113,PheCode:153.3
C0007114,PheCode:172.0
C0007114,PheCode:172.0
C0007115,PheCode:193.0
C0007115,PheCode:193.0
C0007121,PheCode:165.1
C0007129,PheCode:172.0
C0007129,PheCode:172.2
C0007131,PheCode:165.1
C0007134,PheCode:189.1
C0007193,PheCode:425.0
C0007193,PheCode:425.1
C0007196,PheCode:425.1
C0007273,PheCode:819.0
C0007286,PheCode:351.0
C0007302,PheCode:743.9
C0007570,PheCode:557.0
C0007570,PheCode:557.1
C0007570,PheCode:557.1
C0007584,PheCode:792.1
C0007642,PheCode:681.5
C0007643,PheCode:528.3
C0007643,PheCode:528.3
C0007645,PheCode:681.5
C0007645,PheCode:681.1
C0007646,PheCode:681.3
C0007681,PheCode:967.0
C0007772,PheCode:747.0
C0007775,PheCode:433.12
C0007775,PheCode:433.12
C0007785,PheCode:433.3
C0007785,PheCode:433.3
C0007785,PheCode:433.21
C0007785,PheCode:433.11
C0007787,PheCode:433.31
C0007787,PheCode:433.31
C0007789,PheCode:343.0
C0007789,PheCode:343.0
C0007820,PheCode:433.6
C0007820,PheCode:433.0
C0007820,PheCode:433.0
C0007847,PheCode:180.0
C0007847,PheCode:180.1
C0007847,PheCode:180.1
C0007859,PheCode:761.0
C0007859,PheCode:761.0
C0007860,PheCode:614.5
C0007860,PheCode:614.0
