cui,code
C0034575,CCS-PCS-ext:226
C0034579,CCS-PCS-ext:226
C0034606,CCS-PCS-ext:209
C0034606,CCS-PCS-ext:174
C0034610,CCS-PCS-ext:209
C0035467,CCS-PCS-ext:28
C0036136,CCS-PCS-ext:123
C0036782,CCS-PCS-ext:206
C0036807,CCS-PCS-ext:235
C0036836,CCS-PCS-ext:233
C0036993,CCS-PCS-ext:220
C0037024,CCS-PCS-ext:233
C0037077,CCS-PCS-ext:229
C0037805,CCS-PCS-ext:233
C0037806,CCS-PCS-ext:233
C0037813,CCS-PCS-ext:233
C0037842,CCS-PCS-ext:206
C0037894,CCS-PCS-ext:84
C0037897,CCS-PCS-ext:84
C0037943,CCS-PCS-ext:44
C0038153,CCS-PCS-ext:26
C0038886,CCS-PCS-ext:211
C0039505,CCS-PCS-ext:160
C0039773,CCS-PCS-ext:235
C0039814,CCS-PCS-ext:211
C0039991,CCS-PCS-ext:42
C0040049,CCS-PCS-ext:233
C0040145,CCS-PCS-ext:10
C0040405,CCS-PCS-ext:180
C0040511,CCS-PCS-ext:99
C0040555,CCS-PCS-ext:228
C0040590,CCS-PCS-ext:34
C0041290,CCS-PCS-ext:235
C0041447,CCS-PCS-ext:22
C0041618,CCS-PCS-ext:197
C0041626,CCS-PCS-ext:174
C0041962,CCS-PCS-ext:112
C0042014,CCS-PCS-ext:200
C0042196,CCS-PCS-ext:228
C0042273,CCS-PCS-ext:94
C0042275,CCS-PCS-ext:94
C0042381,CCS-PCS-ext:61
C0042387,CCS-PCS-ext:117
C0042421,CCS-PCS-ext:118
C0042515,CCS-PCS-ext:2
C0042609,CCS-PCS-ext:33
C0042792,CCS-PCS-ext:220
C0042825,CCS-PCS-ext:220
C0042879,CCS-PCS-ext:233
C0043159,CCS-PCS-ext:233
C0043162,CCS-PCS-ext:211
C0043299,CCS-PCS-ext:226
C0045008,CCS-PCS-ext:235
C0045008,CCS-PCS-ext:233
C0062525,CCS-PCS-ext:228
C0062527,CCS-PCS-ext:228
C0065828,CCS-PCS-ext:228
C0079104,CCS-PCS-ext:234
C0079595,CCS-PCS-ext:226
C0079989,CCS-PCS-ext:12
C0080232,CCS-PCS-ext:175
C0080264,CCS-PCS-ext:197
C0080265,CCS-PCS-ext:197
C0085076,CCS-PCS-ext:175
C0085430,CCS-PCS-ext:222
C0085672,CCS-PCS-ext:206
C0085678,CCS-PCS-ext:221
C0085704,CCS-PCS-ext:89
C0085736,CCS-PCS-ext:226
C0085853,CCS-PCS-ext:220
C0086511,CCS-PCS-ext:152
C0086511,CCS-PCS-ext:152
C0086548,CCS-PCS-ext:235
C0087111,CCS-PCS-ext:215
C0127526,CCS-PCS-ext:228
C0149615,CCS-PCS-ext:64
C0150318,CCS-PCS-ext:211
C0150496,CCS-PCS-ext:203
C0161869,CCS-PCS-ext:26
C0161878,CCS-PCS-ext:31
C0161937,CCS-PCS-ext:135
C0162401,CCS-PCS-ext:233
C0162428,CCS-PCS-ext:103
C0162502,CCS-PCS-ext:197
C0162522,CCS-PCS-ext:84
C0162649,CCS-PCS-ext:8
C0162650,CCS-PCS-ext:139
C0162661,CCS-PCS-ext:21
C0162662,CCS-PCS-ext:21
C0162701,CCS-PCS-ext:227
C0162702,CCS-PCS-ext:2
C0162779,CCS-PCS-ext:132
C0162780,CCS-PCS-ext:19
C0162788,CCS-PCS-ext:234
C0162789,CCS-PCS-ext:44
C0175608,CCS-PCS-ext:120
C0175610,CCS-PCS-ext:123
C0175676,CCS-PCS-ext:44
C0175762,CCS-PCS-ext:26
C0176143,CCS-PCS-ext:19
C0176144,CCS-PCS-ext:19
C0176217,CCS-PCS-ext:19
C0176260,CCS-PCS-ext:17
C0176269,CCS-PCS-ext:16
C0176271,CCS-PCS-ext:16
C0176364,CCS-PCS-ext:33
C0176465,CCS-PCS-ext:33
C0176531,CCS-PCS-ext:40
C0176786,CCS-PCS-ext:92
C0176866,CCS-PCS-ext:81
C0176870,CCS-PCS-ext:96
C0176940,CCS-PCS-ext:99
C0176967,CCS-PCS-ext:86
