CCS,l,r
8,64486,64550
9,64553,64647
156,64650,64653
8,64680,64681
6,64702,64727
9,64732,64792
7,64795,64795
9,64802,64999
21,65091,65175
229,65205,65205
19,65210,65210
229,65220,65260
20,65265,65265
19,65270,65286
21,65290,65290
19,65400,65400
18,65410,65410
19,65420,65426
18,65430,65430
19,65435,65600
13,65710,65757
19,65760,65779
176,65780,65782
19,65785,65785
18,65800,65800
20,65805,65815
14,65820,65855
20,65860,65900
15,65920,65920
20,65930,66130
14,66150,66185
20,66220,66225
19,66250,66250
20,66500,66682
14,66700,66761
20,66762,66770
15,66820,66986
20,66990,67038
16,67039,67040
20,67041,67043
16,67101,67113
20,67115,67121
16,67141,67145
17,67208,67229
20,67250,67299
21,67311,67345
18,67346,67350
21,67399,67399
18,67400,67400
21,67405,67414
18,67415,67415
21,67420,67445
18,67450,67450
21,67500,67560
9,67570,67570
21,67599,67599
19,67700,67808
18,67810,67810
19,67820,68040
18,68100,68100
19,68110,68505
18,68510,68510
19,68520,68520
18,68525,68525
19,68530,68840
226,68850,68850
21,68899,68899
26,69000,69090
25,69100,69105
26,69110,69155
229,69200,69200
26,69205,69210
169,69220,69222
26,69300,69410
23,69420,69421
26,69424,69424
23,69433,69440
26,69450,69450
24,69501,69530
26,69535,69554
24,69601,69603
22,69604,69604
24,69605,69605
22,69610,69637
24,69641,69646
26,69650,69718
9,69720,69745
26,69799,69801
24,69802,69802
26,69805,69905
24,69910,69910
26,69915,69950
9,69955,69955
26,69960,69960
142,69970,69970
26,69979,69979
231,69990,69990
181,70010,70010
209,70015,70015
220,70030,70030
226,70100,70332
198,70336,70336
226,70350,70390
177,70450,70488
180,70490,70492
177,70496,70496
191,70498,70498
198,70540,70559
183,71010,71022
226,71023,71023
183,71030,71030
226,71034,71034
183,71035,71035
226,71036,71036
37,71038,71038
226,71040,71040
183,71045,71048
226,71060,71130
178,71250,71275
198,71550,71555
226,72010,72120
180,72125,72133
198,72141,72159
226,72170,72190
179,72191,72194
198,72195,72198
226,72200,72220
181,72240,72270
226,72275,72275
209,72285,72285
226,72291,72292
209,72295,72295
226,73000,73140
180,73200,73206
198,73218,73225
226,73500,73660
180,73700,73706
198,73718,73725
226,74000,74022
179,74150,74178
198,74181,74185
226,74190,74210
185,74220,74230
211,74235,74235
185,74240,74250
186,74251,74260
179,74261,74263
186,74270,74283
226,74290,74291
184,74300,74301
226,74305,74327
82,74328,74330
185,74340,74340
226,74350,74363
187,74400,74410
226,74415,74710
198,74712,74713
226,74740,74775
47,75500,75527
198,75552,75565
178,75571,75573
47,75574,75574
189,75600,75635
188,75650,75685
191,75705,75746
47,75750,75766
191,75774,75791
226,75801,75809
191,75810,75810
190,75820,75822
191,75825,75891
226,75893,75893
191,75894,75898
226,75900,75940
197,75945,75946
226,75952,75952
191,75953,75960
229,75961,75961
191,75962,75968
226,75970,75970
191,75978,75978
226,75980,75989
191,75992,75996
226,75998,76066
180,76070,76071
226,76075,76080
182,76082,76092
198,76093,76094
226,76095,76350
180,76355,76375
226,76376,76377
180,76380,76380
226,76390,76390
198,76391,76400
226,76490,76496
180,76497,76497
198,76498,76498
226,76499,76499
192,76506,76536
197,76604,76645
196,76700,76775
195,76776,76778
197,76800,76821
193,76825,76828
197,76830,76886
193,76930,76932
197,76934,76937
195,76938,76938
197,76940,76948
211,76950,76965
197,76970,76970
194,76975,76975
197,76977,76977
231,76978,76979
197,76981,76999
226,77001,77003
180,77011,77014
198,77021,77022
226,77031,77032
198,77046,77049
226,77051,77052
182,77053,77057
198,77058,77059
182,77061,77067
226,77071,77077
180,77078,77079
226,77080,77083
198,77084,77084
226,77085,77086
211,77261,77334
227,77336,77336
211,77338,77338
227,77370,77370
211,77371,77799
209,78000,78099
207,78102,78104
210,78110,78193
209,78195,78195
210,78199,78201
209,78202,78202
210,78205,78205
209,78206,78206
210,78215,78215
209,78216,78220
210,78223,78223
209,78226,78227
210,78230,78231
209,78232,78258
210,78261,78261
209,78262,78276
210,78278,78278
209,78280,78282
210,78290,78290
209,78291,78291
210,78299,78299
207,78300,78399
209,78414,78428
210,78445,78445
209,78451,78454
210,78455,78460
209,78461,78461
210,78464,78464
209,78465,78465
210,78466,78466
209,78468,78483
210,78491,78491
209,78492,78496
210,78499,78499
208,78579,78599
210,78600,78600
209,78601,78601
210,78605,78605
209,78606,78606
210,78607,78607
209,78608,78999
12,79000,79020
211,79030,79403
67,79420,79420
163,79440,79445
237,79900,79999
233,80002,80019
235,80031,80042
233,80047,80051
235,80052,80052
233,80053,80054
235,80055,80055
233,80056,80056
235,80057,80057
233,80058,80058
235,80059,80068
233,80069,80069
235,80070,80072
233,80073,80073
235,80074,80084
233,80085,80086
235,80088,80099
206,80100,80104
235,80150,80440
234,80500,80502
206,81000,81001
200,81002,81005
206,81007,81020
200,81025,81099
234,81105,81599
233,82000,82000
206,82003,82003
233,82005,82013
200,82015,82015
233,82016,82040
200,82042,82042
206,82043,82070
233,82072,82088
200,82089,82089
233,82091,82096
200,82100,82101
233,82103,82112
206,82120,82128
200,82130,82134
233,82135,82140
200,82141,82141
233,82142,82154
200,82156,82156
233,82157,82165
235,82168,82168
200,82170,82170
233,82172,82172
235,82173,82173
206,82175,82175
233,82180,82190
235,82205,82225
206,82230,82231
235,82232,82232
206,82235,82235
235,82236,82236
233,82239,82240
206,82245,82245
233,82247,82252
206,82260,82260
233,82261,82261
235,82265,82265
206,82268,82268
233,82270,82270
235,82271,82272
233,82273,82370
235,82372,82372
233,82373,82397
235,82400,82405
233,82415,82415
235,82418,82425
233,82435,82436
235,82437,82437
233,82438,82441
235,82443,82443
233,82465,82507
235,82512,82512
233,82520,82534
235,82536,82539
233,82540,82600
235,82601,82601
233,82606,82627
235,82628,82628
233,82633,82635
235,82636,82636
233,82638,82638
235,82639,82639
233,82640,82642
235,82643,82643
233,82646,82654
235,82656,82656
233,82657,82658
206,82660,82660
233,82664,82691
235,82692,82692
233,82693,82726
200,82727,82727
233,82728,82740
235,82741,82741
233,82742,82747
235,82750,82750
233,82755,82777
235,82780,82780
233,82784,82787
205,82790,82817
233,82820,82985
235,82995,82995
233,83000,83003
235,83004,83004
233,83006,83014
206,83015,83018
233,83019,83520
235,83523,83523
233,83524,83525
235,83526,83526
233,83527,83571
235,83576,83576
233,83578,83599
235,83600,83600
233,83605,83634
206,83645,83650
233,83655,83680
235,83681,83685
233,83690,83722
235,83725,83725
233,83727,83727
206,83728,83728
235,83730,83730
233,83735,83789
235,83790,83799
206,83805,83805
233,83825,83840
235,83842,83842
206,83845,83845
233,83857,83859
206,83860,83860
233,83861,83861
206,83862,83862
233,83864,83883
206,83885,83887
233,83890,83919
235,83920,83920
233,83921,83921
206,83925,83925
233,83930,83945
235,83946,83946
233,83947,83947
206,83948,83948
233,83949,83951
235,83965,83965
233,83970,83970
235,83971,83972
233,83973,83973
235,83975,83985
233,83986,83993
235,83995,84005
206,84021,84022
233,84030,84031
235,84033,84033
233,84035,84037
235,84038,84038
233,84039,84040
235,84045,84045
233,84060,84140
235,84141,84142
233,84143,84146
235,84147,84147
233,84149,84176
200,84180,84180
233,84181,84200
235,84201,84201
233,84202,84203
235,84205,84205
233,84206,84228
235,84230,84230
233,84231,84318
235,84324,84324
233,84375,84406
235,84407,84407
206,84408,84408
235,84409,84409
233,84410,84410
235,84420,84420
233,84425,84443
235,84444,84444
233,84445,84446
206,84447,84448
233,84449,84466
235,84472,84474
233,84476,84482
206,84483,84483
233,84484,84613
235,84615,84615
233,84620,84681
235,84695,84695
233,84702,84800
235,84810,84810
233,84830,85060
65,85095,85095
206,85097,85097
65,85100,85102
234,85103,85105
233,85109,85364
235,85365,85365
233,85366,85999
235,86000,86063
233,86064,86067
235,86068,86070
227,86077,86079
235,86080,86148
233,86149,86151
235,86152,86243
233,86244,86244
235,86255,86280
233,86281,86281
235,86282,86318
206,86319,86319
235,86320,86357
234,86358,86358
235,86359,86587
206,86588,86588
235,86590,86594
206,86595,86600
235,86602,86808
206,86812,86826
235,86828,86911
64,86915,86915
235,86920,87003
206,87015,87208
235,87209,87209
206,87210,87492
235,87493,87493
206,87495,87633
235,87634,87634
206,87640,87661
235,87662,87662
206,87797,87999
234,88000,88199
206,88230,88239
235,88240,88241
206,88245,88269
235,88271,88275
206,88280,88299
234,88300,88314
233,88318,88319
234,88321,88323
227,88325,88325
234,88329,88381
233,88384,88386
234,88387,88399
235,88400,88720
233,88738,88741
235,88749,89055
206,89060,89060
235,89100,89105
206,89125,89125
234,89130,89141
206,89160,89190
233,89205,89205
235,89220,89235
234,89240,89240
206,89250,89257
235,89258,89259
206,89260,89331
235,89335,89360
200,89365,89365
235,89398,89398
234,89399,89399
228,90281,90756
231,90760,90784
218,90785,90785
231,90788,90788
218,90791,90792
231,90798,90799
218,90801,90899
213,90900,90915
58,90918,90940
91,90945,90947
227,90951,90970
91,90989,90997
58,90998,90998
91,90999,90999
93,91000,91000
97,91010,91065
98,91100,91100
93,91105,91105
98,91110,91111
97,91112,91122
95,91123,91123
97,91132,91299
220,92002,92140
18,92145,92145
220,92225,92499
31,92502,92504
220,92506,92506
215,92507,92508
220,92510,92510
31,92511,92512
7,92516,92516
40,92520,92520
227,92521,92524
31,92525,92525
231,92526,92526
220,92531,92547
227,92548,92548
220,92550,92596
215,92597,92598
231,92599,92599
220,92601,92609
31,92610,92617
220,92618,92625
25,92626,92627
26,92630,92633
25,92640,92640
31,92700,92700
45,92920,92944
63,92950,92960
49,92961,92961
50,92970,92971
45,92973,92973
67,92974,92974
46,92975,92977
193,92978,92979
45,92980,92984
43,92986,92990
49,92992,92993
45,92995,92996
54,92997,92998
202,93000,93014
201,93015,93018
62,93024,93024
202,93025,93042
62,93050,93050
202,93201,93202
62,93204,93204
202,93205,93221
62,93222,93222
203,93224,93255
62,93260,93264
203,93268,93299
193,93303,93355
47,93451,93501
204,93503,93503
62,93505,93505
47,93508,93533
48,93536,93536
47,93539,93572
49,93580,93583
43,93590,93592
62,93600,93644
225,93650,93657
203,93660,93660
193,93662,93662
215,93668,93668
62,93701,93701
235,93702,93702
40,93720,93722
203,93724,93735
62,93736,93740
203,93741,93745
62,93750,93790
227,93792,93793
215,93797,93798
62,93799,93799
192,93875,93895
62,93920,93924
197,93925,93971
196,93975,93976
197,93978,93981
62,93982,93982
197,93990,93990
62,93998,93998
231,94002,94004
236,94005,94005
38,94010,94453
231,94610,94610
38,94617,94621
217,94640,94652
216,94656,94662
233,94664,94665
217,94667,94669
233,94680,94690
205,94700,94710
233,94715,94725
38,94726,94729
233,94750,94770
226,94772,94772
236,94774,94777
227,94780,94781
41,94799,94799
173,95000,95011
40,95012,95012
173,95014,95079
227,95105,95105
228,95115,95165
237,95170,95170
231,95180,95199
11,95249,95251
227,95782,95811
199,95812,95827
227,95828,95828
199,95829,95830
212,95831,95834
7,95836,95836
212,95842,95852
7,95857,95872
8,95873,95873
7,95874,95882
218,95883,95883
7,95885,95943
199,95950,95962
7,95965,95984
8,95990,95992
7,95999,96003
227,96004,96004
7,96020,96020
227,96040,96040
218,96100,96103
7,96105,96115
218,96116,96161
231,96269,96376
240,96377,96377
231,96379,96379
224,96400,96520
237,96521,96522
231,96523,96523
224,96530,96549
174,96567,96900
206,96902,96902
174,96904,96922
173,96931,96936
174,96999,96999
212,97001,97006
213,97010,97010
214,97012,97012
213,97014,97035
214,97036,97036
215,97039,97039
213,97110,97120
214,97122,97122
213,97124,97126
215,97127,97127
213,97128,97128
215,97139,97139
213,97140,97150
218,97151,97158
212,97161,97172
214,97220,97241
213,97250,97265
215,97500,97521
213,97530,97531
215,97532,97542
213,97545,97546
214,97597,97608
231,97610,97610
212,97700,97752
215,97755,97770
213,97780,97781
215,97799,97799
237,97802,97804
213,97810,97814
215,98925,98929
163,98940,98943
237,98960,99002
231,99024,99025
227,99026,99050
231,99051,99051
227,99052,99052
231,99053,99053
227,99054,99058
231,99060,99060
237,99070,99082
227,99090,99091
232,99100,99140
231,99141,99142
232,99143,99157
227,99170,99170
220,99172,99174
98,99175,99175
220,99177,99177
218,99178,99178
231,99180,99186
32,99188,99188
237,99190,99192
231,99195,99195
237,99199,99199
227,99201,99285
231,99288,99290
227,99291,99412
237,99415,99416
227,99420,99435
231,99436,99436
227,99438,99438
231,99440,99440
227,99441,99463
231,99464,99467
227,99468,99480
231,99481,99482
227,99483,99483
218,99484,99484
231,99485,99486
227,99487,99491
218,99492,99494
227,99495,99499
236,99500,99602
227,99605,99607
