l,r,CCS
C1126,C1126,243
C1127,C1127,243
C1128,C1128,243
C1129,C1129,243
C1130,C1130,243
C1131,C1131,243
C1132,C1132,243
C1133,C1133,243
C1134,C1134,243
C1135,C1135,243
C1136,C1136,243
C1137,C1137,243
C1143,C1143,243
C1144,C1144,243
C1145,C1145,243
C1146,C1146,243
C1147,C1147,243
C1148,C1148,243
C1149,C1149,243
C1151,C1151,243
C1152,C1152,243
C1153,C1153,243
C1154,C1154,243
C1155,C1155,243
C1156,C1156,243
C1157,C1157,243
C1158,C1158,243
C1159,C1159,243
C1160,C1160,243
C1161,C1161,243
C1162,C1162,243
C1163,C1163,243
C1164,C1164,243
C1166,C1166,240
C1167,C1167,240
C1170,C1170,243
C1171,C1171,243
C1172,C1172,243
C1173,C1173,243
C1174,C1174,243
C1175,C1175,243
C1176,C1176,243
C1177,C1177,243
C1178,C1178,240
C1179,C1179,243
C1180,C1180,243
C1181,C1181,243
C1182,C1182,243
C1183,C1183,243
C1184,C1184,243
C1188,C1188,243
C1200,C1200,243
C1201,C1201,243
C1202,C1202,243
C1203,C1203,240
C1205,C1205,243
C1207,C1207,240
C1300,C1300,231
C1302,C1302,243
C1303,C1303,243
C1304,C1304,243
C1305,C1305,243
C1306,C1306,243
C1311,C1311,243
C1312,C1312,243
C1313,C1313,243
C1314,C1314,243
C1315,C1315,243
C1316,C1316,243
C1317,C1317,243
C1318,C1318,243
C1319,C1319,243
C1320,C1320,243
C1321,C1321,243
C1322,C1322,243
C1323,C1323,243
C1324,C1324,243
C1325,C1325,243
C1326,C1326,243
C1328,C1328,243
C1329,C1329,243
C1333,C1333,243
C1334,C1334,243
C1335,C1335,243
C1336,C1336,243
C1337,C1337,243
C1348,C1348,243
C1350,C1350,243
C1351,C1351,243
C1352,C1352,243
C1353,C1353,243
C1354,C1354,243
C1355,C1355,243
C1356,C1356,243
C1357,C1357,243
C1358,C1358,243
C1359,C1359,243
C1360,C1360,17
C1361,C1361,243
C1362,C1362,243
C1363,C1363,243
C1364,C1364,243
C1365,C1365,243
C1366,C1366,243
C1367,C1367,243
C1368,C1368,243
C1369,C1369,243
C1370,C1370,243
C1371,C1371,243
C1372,C1372,243
C1375,C1375,243
C1376,C1376,243
C1377,C1377,243
C1378,C1378,243
C1379,C1379,243
C1420,C1420,243
C1421,C1421,243
C1450,C1450,243
C1451,C1451,243
C1500,C1500,243
C1531,C1531,243
C1700,C1700,243
C1701,C1701,243
C1702,C1702,243
C1703,C1703,243
C1704,C1704,243
C1705,C1705,243
C1706,C1706,243
C1707,C1707,243
C1708,C1708,243
C1709,C1709,243
C1710,C1710,243
C1711,C1711,243
C1712,C1712,243
C1713,C1713,243
C1714,C1714,243
C1715,C1715,243
C1716,C1716,243
C1717,C1717,243
C1718,C1718,243
C1719,C1719,243
C1720,C1720,243
C1721,C1721,243
C1722,C1722,243
C1723,C1723,243
C1724,C1724,243
C1725,C1725,243
C1726,C1726,243
C1727,C1727,243
C1728,C1728,243
C1729,C1729,243
C1730,C1730,243
C1731,C1731,243
C1732,C1732,243
C1733,C1733,243
C1749,C1749,76
C1750,C1750,243
C1751,C1751,243
C1752,C1752,243
C1753,C1753,243
C1754,C1754,243
C1755,C1755,243
C1756,C1756,243
C1757,C1757,243
C1758,C1758,243
C1759,C1759,243
C1760,C1760,243
C1762,C1762,243
C1763,C1763,243
C1764,C1764,243
C1765,C1765,243
C1766,C1766,243
C1767,C1767,243
C1768,C1768,243
C1769,C1769,243
C1770,C1770,243
C1771,C1771,243
C1772,C1772,243
C1773,C1773,243
C1774,C1774,240
C1775,C1775,243
C1776,C1776,243
C1777,C1777,243
C1778,C1778,243
C1779,C1779,243
C1780,C1780,243
C1781,C1781,243
C1782,C1782,243
C1783,C1783,243
C1784,C1784,243
C1785,C1785,243
C1786,C1786,243
C1787,C1787,243
C1788,C1788,243
C1789,C1789,243
C1790,C1790,243
C1791,C1791,243
C1792,C1792,243
C1793,C1793,243
C1794,C1794,243
C1795,C1795,243
C1796,C1796,243
C1797,C1797,243
C1798,C1798,243
C1799,C1799,243
C1800,C1800,243
C1801,C1801,243
C1802,C1802,243
C1803,C1803,243
C1804,C1804,243
C1805,C1805,243
C1806,C1806,243
C1810,C1810,243
C1811,C1811,243
C1812,C1812,243
C1813,C1813,243
C1814,C1814,243
C1815,C1815,243
C1816,C1816,243
C1817,C1817,243
C1818,C1818,243
C1819,C1819,243
C1820,C1820,243
C1821,C1821,243
C1822,C1822,243
C1823,C1823,243
C1830,C1830,243
C1840,C1840,243
C1841,C1841,243
C1842,C1842,243
C1850,C1850,243
C1851,C1851,243
C1852,C1852,243
C1853,C1853,243
C1854,C1854,243
C1855,C1855,243
C1856,C1856,243
C1857,C1857,243
C1858,C1858,243
C1859,C1859,243
C1860,C1860,243
C1861,C1861,243
C1862,C1862,243
C1863,C1863,243
C1864,C1864,243
C1865,C1865,243
C1866,C1866,243
C1867,C1867,243
C1868,C1868,243
C1869,C1869,243
C1870,C1870,243
C1871,C1871,243
C1872,C1872,243
C1873,C1873,243
C1874,C1874,243
C1875,C1875,243
C1876,C1876,243
C1877,C1877,243
C1878,C1878,243
C1879,C1879,243
C1880,C1880,243
C1881,C1881,243
C1882,C1882,243
C1883,C1883,243
C1884,C1884,243
C1885,C1885,243
C1886,C1886,243
C1887,C1887,243
C1888,C1888,243
C1889,C1889,243
C1891,C1891,243
C1892,C1892,243
C1893,C1893,243
C1894,C1894,243
C1895,C1895,243
C1896,C1896,243
C1897,C1897,243
C1898,C1898,243
C1899,C1899,243
C1900,C1900,243
C1929,C1929,243
C1930,C1930,243
C1931,C1931,243
C1932,C1932,243
C1933,C1933,243
C1934,C1934,243
C1935,C1935,243
C1936,C1936,243
C1937,C1937,243
C1938,C1938,243
C1939,C1939,243
C1940,C1940,243
C1941,C1941,243
C1942,C1942,243
C1943,C1943,243
C1944,C1944,243
C1945,C1945,243
C1946,C1946,243
C1947,C1947,243
C1948,C1948,243
C1949,C1949,243
C1979,C1979,243
C1980,C1980,243
C1981,C1981,243
C2000,C2000,243
C2001,C2001,243
C2002,C2002,243
C2003,C2003,243
C2004,C2004,243
C2005,C2005,243
C2006,C2006,243
C2007,C2007,243
C2008,C2008,243
C2009,C2009,243
C2010,C2010,243
C2011,C2011,243
C2012,C2012,243
C2013,C2013,243
C2014,C2014,243
C2015,C2015,243
C2016,C2016,243
C2017,C2017,243
C2018,C2018,243
C2019,C2019,243
C2020,C2020,243
C2021,C2021,243
C2022,C2022,243
C2023,C2023,243
C2100,C2100,243
C2101,C2101,243
C2102,C2102,243
C2103,C2103,243
C2104,C2104,243
C2151,C2151,243
C2152,C2152,243
C2153,C2153,243
C2200,C2200,243
C2300,C2300,243
C2597,C2597,243
C2598,C2598,243
C2599,C2599,243
C2600,C2600,243
C2601,C2601,243
C2602,C2602,243
C2603,C2603,243
C2604,C2604,243
C2605,C2605,243
C2606,C2606,243
C2607,C2607,243
C2608,C2608,243
C2609,C2609,243
C2610,C2610,243
C2611,C2611,243
C2612,C2612,243
C2613,C2613,243
C2614,C2614,243
C2615,C2615,243
C2616,C2616,243
C2617,C2617,243
C2618,C2618,243
C2619,C2619,243
C2620,C2620,243
C2621,C2621,243
C2622,C2622,243
C2623,C2623,243
C2624,C2624,243
C2625,C2625,243
C2626,C2626,243
C2627,C2627,243
C2628,C2628,243
C2629,C2629,243
C2630,C2630,243
C2631,C2631,243
C2632,C2632,243
C2633,C2633,243
C2634,C2634,243
C2635,C2635,243
C2636,C2636,243
C2637,C2637,243
C2638,C2638,211
C2639,C2639,211
C2640,C2640,211
C2641,C2641,211
C2642,C2642,211
C2643,C2643,211
C2644,C2644,211
C2645,C2645,211
C2676,C2676,243
C2698,C2698,211
C2699,C2699,211
C2700,C2700,243
C2701,C2701,243
C2702,C2702,243
C2703,C2703,243
C2704,C2704,243
C2801,C2801,243
C2802,C2802,243
C2803,C2803,243
C2804,C2804,243
C2805,C2805,243
C2806,C2806,243
C2807,C2807,243
C2808,C2808,243
C3001,C3001,243
C3002,C3002,243
C3003,C3003,243
C3004,C3004,243
C3400,C3400,243
C3401,C3401,243
C3500,C3500,243
C3510,C3510,243
C3551,C3551,243
C3552,C3552,243
C3553,C3553,243
C3554,C3554,243
C3555,C3555,243
C3556,C3556,243
C3557,C3557,243
C3800,C3800,243
C3801,C3801,243
C3851,C3851,243
C4000,C4000,243
C4001,C4001,243
C4002,C4002,243
C4003,C4003,243
C4004,C4004,243
C4005,C4005,243
C4006,C4006,243
C4007,C4007,243
C4008,C4008,243
C4009,C4009,243
C4300,C4300,243
C4301,C4301,243
C4302,C4302,243
C4303,C4303,243
C4304,C4304,243
C4305,C4305,243
C4306,C4306,243
C4307,C4307,243
C4308,C4308,243
C4309,C4309,243
C4310,C4310,243
C4311,C4311,243
C4312,C4312,243
C4313,C4313,243
C4314,C4314,243
C4315,C4315,243
C4316,C4316,243
C4317,C4317,243
C4600,C4600,243
C4601,C4601,243
C4602,C4602,243
C4603,C4603,243
C4604,C4604,243
C4605,C4605,243
C4606,C4606,243
C4607,C4607,243
C5000,C5000,243
C5001,C5001,243
C5002,C5002,243
C5003,C5003,243
C5004,C5004,243
C5005,C5005,243
C5006,C5006,243
C5007,C5007,243
C5008,C5008,243
C5009,C5009,243
C5010,C5010,243
C5011,C5011,243
C5012,C5012,243
C5013,C5013,243
C5014,C5014,243
C5015,C5015,243
C5016,C5016,243
C5017,C5017,243
C5018,C5018,243
C5019,C5019,243
C5020,C5020,243
C5021,C5021,243
C5022,C5022,243
C5023,C5023,243
C5024,C5024,243
C5025,C5025,243
C5026,C5026,243
C5027,C5027,243
C5028,C5028,243
C5029,C5029,243
C5030,C5030,243
C5031,C5031,243
C5032,C5032,243
C5033,C5033,243
C5034,C5034,243
C5035,C5035,243
C5036,C5036,243
C5037,C5037,243
C5038,C5038,243
C5039,C5039,243
C5040,C5040,243
C5041,C5041,243
C5042,C5042,243
C5043,C5043,243
C5044,C5044,243
C5045,C5045,243
C5046,C5046,243
C5047,C5047,243
C5048,C5048,243
C5130,C5130,243
C5131,C5131,243
C5132,C5132,243
C5133,C5133,243
C5134,C5134,243
C5271,C5271,172
C5272,C5272,172
C5273,C5273,172
C5274,C5274,172
C5275,C5275,172
C5276,C5276,172
C5277,C5277,172
C5278,C5278,172
C5279,C5279,243
C5280,C5280,243
C5281,C5281,243
C5282,C5282,243
C5283,C5283,243
C5284,C5284,243
C5600,C5600,243
C5601,C5601,243
C6001,C6001,243
C6002,C6002,243
C6003,C6003,243
C6004,C6004,243
C6005,C6005,243
C6006,C6006,243
C6012,C6012,243
C6013,C6013,243
C6014,C6014,243
C6015,C6015,243
C6016,C6016,243
C6017,C6017,243
C6018,C6018,243
C6019,C6019,243
C6020,C6020,243
C6021,C6021,243
C6022,C6022,243
C6023,C6023,243
C6024,C6024,243
C6025,C6025,243
C6026,C6026,243
C6027,C6027,243
C6028,C6028,243
C6029,C6029,243
C6030,C6030,243
C6031,C6031,243
C6032,C6032,243
C6033,C6033,243
C6034,C6034,243
C6035,C6035,243
C6036,C6036,243
C6037,C6037,243
C6038,C6038,243
C6039,C6039,243
C6040,C6040,243
C6041,C6041,243
C6050,C6050,243
C6051,C6051,243
C6052,C6052,243
C6053,C6053,243
C6054,C6054,243
C6055,C6055,243
C6056,C6056,243
C6057,C6057,243
C6058,C6058,243
C6080,C6080,243
C6200,C6200,243
C6201,C6201,243
C6202,C6202,243
C6203,C6203,243
C6204,C6204,243
C6205,C6205,243
C6206,C6206,243
C6207,C6207,243
C6208,C6208,243
C6209,C6209,243
C6210,C6210,243
C6300,C6300,243
C6500,C6500,243
C6501,C6501,243
C6502,C6502,243
C6525,C6525,243
C6600,C6600,243
C6650,C6650,243
C6651,C6651,243
C6652,C6652,243
C6700,C6700,243
C8099,C8099,243
C8100,C8100,243
C8102,C8102,243
C8103,C8103,243
C8500,C8500,243
C8501,C8501,243
C8502,C8502,243
C8503,C8503,243
C8504,C8504,243
C8505,C8505,243
C8506,C8506,243
C8507,C8507,243
C8508,C8508,243
C8509,C8509,243
C8510,C8510,243
C8511,C8511,243
C8512,C8512,243
C8513,C8513,243
C8514,C8514,243
C8515,C8515,243
C8516,C8516,243
C8517,C8517,243
C8518,C8518,243
C8519,C8519,243
C8520,C8520,243
C8521,C8521,243
C8522,C8522,243
C8523,C8523,243
C8524,C8524,243
C8525,C8525,243
C8526,C8526,243
C8528,C8528,243
C8529,C8529,243
C8530,C8530,243
C8531,C8531,243
C8532,C8532,243
C8533,C8533,243
C8534,C8534,243
C8535,C8535,243
C8536,C8536,243
C8539,C8539,243
C8540,C8540,243
C8541,C8541,243
C8542,C8542,243
C8543,C8543,243
C8550,C8550,243
C8551,C8551,243
C8552,C8552,243
C8597,C8597,243
C8598,C8598,243
C8599,C8599,243
C8600,C8600,243
C8650,C8650,243
C8724,C8724,243
C8725,C8725,243
C8748,C8748,243
C8749,C8749,243
C8750,C8750,243
C8775,C8775,243
C8776,C8776,243
C8777,C8777,243
C8800,C8800,243
C8801,C8801,243
C8802,C8802,243
C8830,C8830,243
C8890,C8890,243
C8891,C8891,243
C8900,C8900,198
C8901,C8901,198
C8902,C8902,198
C8903,C8903,198
C8904,C8904,198
C8905,C8905,198
C8906,C8906,198
C8907,C8907,198
C8908,C8908,198
C8909,C8909,198
C8910,C8910,198
C8911,C8911,198
C8912,C8912,198
C8913,C8913,198
C8914,C8914,198
C8918,C8918,198
C8919,C8919,198
C8920,C8920,198
C8921,C8921,193
C8922,C8922,193
C8923,C8923,193
C8924,C8924,193
C8925,C8925,193
C8926,C8926,193
C8927,C8927,193
C8928,C8928,193
C8929,C8929,193
C8930,C8930,193
C8931,C8931,198
C8932,C8932,198
C8933,C8933,198
C8934,C8934,198
C8935,C8935,198
C8936,C8936,198
C8937,C8937,226
C8950,C8950,240
C8951,C8951,240
C8952,C8952,240
C8953,C8953,240
C8954,C8954,240
C8955,C8955,240
C8957,C8957,240
C9000,C9000,240
C9001,C9001,240
C9002,C9002,240
C9003,C9003,240
C9004,C9004,240
C9005,C9005,240
C9006,C9006,240
C9007,C9007,240
C9008,C9008,240
C9009,C9009,240
C9010,C9010,240
C9011,C9011,240
C9012,C9012,240
C9013,C9013,243
C9014,C9014,240
C9015,C9015,240
C9016,C9016,240
C9017,C9017,240
C9018,C9018,240
C9019,C9019,240
C9020,C9020,240
C9021,C9021,240
C9022,C9022,240
C9023,C9023,240
C9024,C9024,240
C9025,C9025,240
C9026,C9026,240
C9027,C9027,240
C9028,C9028,240
C9029,C9029,240
C9030,C9030,240
C9031,C9031,240
C9032,C9032,240
C9033,C9033,240
C9034,C9034,240
C9035,C9035,240
C9036,C9036,240
C9037,C9037,240
C9038,C9038,240
C9039,C9039,240
C9100,C9100,243
C9102,C9102,243
C9103,C9103,243
C9104,C9104,240
C9105,C9105,240
C9106,C9106,240
C9107,C9107,240
C9108,C9108,240
C9109,C9109,240
C9110,C9110,240
C9111,C9111,240
C9112,C9112,240
C9113,C9113,240
C9114,C9114,240
C9115,C9115,240
C9116,C9116,240
C9117,C9117,240
C9118,C9118,240
C9119,C9119,240
C9120,C9120,240
C9121,C9121,240
C9123,C9123,243
C9124,C9124,240
C9125,C9125,240
C9126,C9126,240
C9127,C9127,240
C9128,C9128,240
C9129,C9129,240
C9132,C9132,240
C9133,C9133,240
C9134,C9134,240
C9135,C9135,240
C9136,C9136,240
C9137,C9137,240
C9138,C9138,240
C9139,C9139,240
C9140,C9140,240
C9200,C9200,243
C9201,C9201,243
C9202,C9202,240
C9203,C9203,240
C9204,C9204,240
C9205,C9205,240
C9206,C9206,243
C9207,C9207,240
C9208,C9208,240
C9209,C9209,240
C9210,C9210,240
C9211,C9211,240
C9212,C9212,240
C9213,C9213,240
C9214,C9214,240
C9215,C9215,240
C9216,C9216,240
C9217,C9217,240
C9218,C9218,240
C9219,C9219,240
C9220,C9220,240
C9221,C9221,243
C9222,C9222,243
C9223,C9223,240
C9224,C9224,240
C9225,C9225,240
C9226,C9226,240
C9232,C9232,240
C9233,C9233,240
C9234,C9234,240
C9235,C9235,240
C9236,C9236,240
C9237,C9237,240
C9238,C9238,240
C9239,C9239,240
C9240,C9240,240
C9241,C9241,240
C9242,C9242,240
C9243,C9243,240
C9244,C9244,240
C9245,C9245,240
C9246,C9246,240
C9247,C9247,240
C9248,C9248,240
C9249,C9249,240
C9250,C9250,243
C9251,C9251,240
C9252,C9252,240
C9253,C9253,240
C9254,C9254,240
C9255,C9255,240
C9256,C9256,240
C9257,C9257,240
C9258,C9258,240
C9259,C9259,240
C9260,C9260,240
C9261,C9261,240
C9262,C9262,240
C9263,C9263,240
C9264,C9264,240
C9265,C9265,240
C9266,C9266,240
C9267,C9267,240
C9268,C9268,240
C9269,C9269,240
C9270,C9270,240
C9271,C9271,240
C9272,C9272,240
C9273,C9273,240
C9274,C9274,240
C9275,C9275,240
C9276,C9276,240
C9277,C9277,240
C9278,C9278,240
C9279,C9279,240
C9280,C9280,240
C9281,C9281,240
C9282,C9282,240
C9283,C9283,240
C9284,C9284,240
C9285,C9285,240
C9286,C9286,240
C9287,C9287,240
C9288,C9288,240
C9289,C9289,240
C9290,C9290,240
C9291,C9291,240
C9292,C9292,240
C9293,C9293,240
C9294,C9294,240
C9295,C9295,240
C9296,C9296,240
C9349,C9349,243
C9350,C9350,243
C9351,C9351,243
C9352,C9352,243
C9353,C9353,243
C9354,C9354,243
C9355,C9355,243
C9356,C9356,243
C9357,C9357,243
C9358,C9358,243
C9359,C9359,243
C9360,C9360,243
C9361,C9361,243
C9362,C9362,243
C9363,C9363,243
C9364,C9364,243
C9365,C9365,243
C9366,C9366,243
C9367,C9367,243
C9368,C9368,243
C9369,C9369,243
C9399,C9399,240
C9400,C9400,243
C9401,C9401,243
C9402,C9402,243
C9403,C9403,243
C9404,C9404,243
C9405,C9405,243
C9406,C9406,243
C9407,C9407,243
C9408,C9408,243
C9410,C9410,240
C9411,C9411,240
C9412,C9412,240
C9413,C9413,240
C9414,C9414,240
C9415,C9415,240
C9417,C9417,240
C9418,C9418,240
C9419,C9419,240
C9420,C9420,240
C9421,C9421,240
C9422,C9422,240
C9423,C9423,240
C9424,C9424,240
C9425,C9425,240
C9426,C9426,240
C9427,C9427,240
C9428,C9428,240
C9429,C9429,240
C9430,C9430,240
C9431,C9431,240
C9432,C9432,240
C9433,C9433,240
C9435,C9435,240
C9436,C9436,240
C9437,C9437,240
C9438,C9438,240
C9439,C9439,240
C9440,C9440,240
C9441,C9441,240
C9442,C9442,240
C9443,C9443,240
C9444,C9444,240
C9445,C9445,240
C9446,C9446,240
C9447,C9447,240
C9448,C9448,240
C9449,C9449,240
C9450,C9450,240
C9451,C9451,240
C9452,C9452,240
C9453,C9453,240
C9454,C9454,240
C9455,C9455,240
C9456,C9456,240
C9457,C9457,240
C9458,C9458,243
C9459,C9459,243
C9460,C9460,240
C9461,C9461,243
C9462,C9462,240
C9463,C9463,240
C9464,C9464,240
C9465,C9465,240
C9466,C9466,240
C9467,C9467,240
C9468,C9468,240
C9469,C9469,240
C9470,C9470,240
C9471,C9471,240
C9472,C9472,240
C9473,C9473,240
C9474,C9474,240
C9475,C9475,240
C9476,C9476,240
C9477,C9477,240
C9478,C9478,240
C9479,C9479,240
C9480,C9480,240
C9481,C9481,240
C9482,C9482,240
C9483,C9483,240
C9488,C9488,240
C9497,C9497,240
C9500,C9500,222
C9501,C9501,222
C9502,C9502,222
C9503,C9503,222
C9504,C9504,222
C9505,C9505,222
C9506,C9506,222
C9600,C9600,45
C9601,C9601,45
C9602,C9602,45
C9603,C9603,45
C9604,C9604,45
C9605,C9605,45
C9606,C9606,45
C9607,C9607,45
C9608,C9608,45
C9700,C9700,231
C9701,C9701,94
C9702,C9702,243
C9703,C9703,243
C9704,C9704,70
C9708,C9708,237
C9711,C9711,243
C9712,C9712,97
C9713,C9713,117
C9714,C9714,211
C9715,C9715,211
C9716,C9716,96
C9717,C9717,81
C9718,C9718,148
C9719,C9719,148
C9720,C9720,230
C9721,C9721,230
C9722,C9722,243
C9723,C9723,226
C9724,C9724,70
C9725,C9725,211
C9726,C9726,211
C9727,C9727,211
C9728,C9728,211
C9729,C9729,3
C9730,C9730,42
C9731,C9731,42
C9732,C9732,15
C9733,C9733,226
C9734,C9734,226
C9735,C9735,77
C9736,C9736,132
C9737,C9737,94
C9738,C9738,100
C9739,C9739,118
C9740,C9740,118
C9741,C9741,47
C9742,C9742,41
C9743,C9743,240
C9744,C9744,196
C9745,C9745,26
C9746,C9746,112
C9747,C9747,118
C9748,C9748,113
C9749,C9749,33
C9750,C9750,49
C9751,C9751,42
C9752,C9752,9
C9753,C9753,9
C9754,C9754,57
C9755,C9755,57
C9800,C9800,243
C9801,C9801,227
C9802,C9802,227
C9898,C9898,243
C9899,C9899,243
E0100,E0100,243
E0105,E0105,243
E0110,E0110,243
E0111,E0111,243
E0112,E0112,243
E0113,E0113,243
E0114,E0114,243
E0116,E0116,243
E0117,E0117,243
E0118,E0118,243
E0130,E0130,243
E0135,E0135,243
E0140,E0140,243
E0141,E0141,243
E0142,E0142,243
E0143,E0143,243
E0144,E0144,243
E0145,E0145,243
E0146,E0146,243
E0147,E0147,243
E0148,E0148,243
E0149,E0149,243
E0153,E0153,243
E0154,E0154,243
E0155,E0155,243
E0156,E0156,243
E0157,E0157,243
E0158,E0158,243
E0159,E0159,243
E0160,E0160,243
E0161,E0161,243
E0162,E0162,243
E0163,E0163,243
E0164,E0164,243
E0165,E0165,243
E0166,E0166,243
E0167,E0167,243
E0168,E0168,243
E0169,E0169,243
E0170,E0170,243
E0171,E0171,243
E0172,E0172,243
E0175,E0175,243
E0176,E0176,243
E0177,E0177,243
E0178,E0178,243
E0179,E0179,243
E0180,E0180,243
E0181,E0181,243
E0182,E0182,243
E0184,E0184,243
E0185,E0185,243
E0186,E0186,243
E0187,E0187,243
E0188,E0188,243
E0189,E0189,243
E0190,E0190,243
E0191,E0191,243
E0192,E0192,243
E0193,E0193,243
E0194,E0194,243
E0196,E0196,243
E0197,E0197,243
E0198,E0198,243
E0199,E0199,243
E0200,E0200,243
E0202,E0202,243
E0203,E0203,243
E0205,E0205,243
E0210,E0210,243
E0215,E0215,243
E0217,E0217,243
E0218,E0218,243
E0220,E0220,243
E0221,E0221,243
E0225,E0225,243
E0230,E0230,243
E0231,E0231,243
E0232,E0232,243
E0235,E0235,243
E0236,E0236,243
E0238,E0238,243
E0239,E0239,243
E0240,E0240,243
E0241,E0241,243
E0242,E0242,243
E0243,E0243,243
E0244,E0244,243
E0245,E0245,243
E0246,E0246,243
E0247,E0247,243
E0248,E0248,243
E0249,E0249,243
E0250,E0250,243
E0251,E0251,243
E0255,E0255,243
E0256,E0256,243
E0260,E0260,243
E0261,E0261,243
E0265,E0265,243
E0266,E0266,243
E0270,E0270,243
E0271,E0271,243
E0272,E0272,243
E0273,E0273,243
E0274,E0274,243
E0275,E0275,243
E0276,E0276,243
E0277,E0277,243
E0280,E0280,243
E0290,E0290,243
E0291,E0291,243
E0292,E0292,243
E0293,E0293,243
E0294,E0294,243
E0295,E0295,243
E0296,E0296,243
E0297,E0297,243
E0298,E0298,243
E0300,E0300,243
E0301,E0301,243
E0302,E0302,243
E0303,E0303,243
E0304,E0304,243
E0305,E0305,243
E0310,E0310,243
E0315,E0315,243
E0316,E0316,243
E0325,E0325,243
E0326,E0326,243
E0328,E0328,243
E0329,E0329,243
E0350,E0350,243
E0352,E0352,243
E0370,E0370,243
E0371,E0371,243
E0372,E0372,243
E0373,E0373,243
E0424,E0424,243
E0425,E0425,243
E0430,E0430,243
E0431,E0431,243
E0433,E0433,243
E0434,E0434,243
E0435,E0435,243
E0439,E0439,243
E0440,E0440,243
E0441,E0441,243
E0442,E0442,243
E0443,E0443,243
E0444,E0444,243
E0445,E0445,243
E0446,E0446,243
E0447,E0447,243
E0450,E0450,243
E0452,E0452,243
E0453,E0453,243
E0454,E0454,243
E0455,E0455,243
E0457,E0457,243
E0459,E0459,243
E0460,E0460,243
E0461,E0461,243
E0462,E0462,243
E0463,E0463,243
E0464,E0464,243
E0465,E0465,243
E0466,E0466,243
E0467,E0467,243
E0470,E0470,243
E0471,E0471,243
E0472,E0472,243
E0480,E0480,243
E0481,E0481,243
E0482,E0482,243
E0483,E0483,243
E0484,E0484,243
E0485,E0485,243
E0486,E0486,243
E0487,E0487,243
E0500,E0500,243
E0550,E0550,243
E0555,E0555,243
E0560,E0560,243
E0561,E0561,243
E0562,E0562,243
E0565,E0565,243
E0570,E0570,243
E0571,E0571,243
E0572,E0572,243
E0574,E0574,243
E0575,E0575,243
E0580,E0580,243
E0585,E0585,243
E0590,E0590,243
E0600,E0600,243
E0601,E0601,243
E0602,E0602,243
E0603,E0603,243
E0604,E0604,243
E0605,E0605,243
E0606,E0606,243
E0607,E0607,243
E0608,E0608,243
E0609,E0609,243
E0610,E0610,243
E0615,E0615,243
E0616,E0616,243
E0617,E0617,243
E0618,E0618,243
E0619,E0619,243
E0620,E0620,233
E0621,E0621,243
E0625,E0625,243
E0627,E0627,243
E0628,E0628,243
E0629,E0629,243
E0630,E0630,243
E0635,E0635,243
E0636,E0636,243
E0637,E0637,243
E0638,E0638,243
E0639,E0639,243
E0640,E0640,243
E0641,E0641,243
E0642,E0642,243
E0650,E0650,243
E0651,E0651,243
E0652,E0652,243
E0655,E0655,243
E0656,E0656,243
E0657,E0657,243
E0660,E0660,243
E0665,E0665,243
E0666,E0666,243
E0667,E0667,243
E0668,E0668,243
E0669,E0669,243
E0670,E0670,243
E0671,E0671,243
E0672,E0672,243
E0673,E0673,243
E0675,E0675,243
E0676,E0676,243
E0690,E0690,243
E0691,E0691,243
E0692,E0692,243
E0693,E0693,243
E0694,E0694,243
E0700,E0700,243
E0701,E0701,243
E0705,E0705,243
E0710,E0710,243
E0720,E0720,243
E0730,E0730,243
E0731,E0731,243
E0740,E0740,243
E0744,E0744,243
E0745,E0745,243
E0746,E0746,243
E0747,E0747,243
E0748,E0748,243
E0749,E0749,243
E0751,E0751,243
E0752,E0752,243
E0753,E0753,243
E0754,E0754,243
E0755,E0755,243
E0756,E0756,243
E0757,E0757,243
E0758,E0758,243
E0759,E0759,243
E0760,E0760,243
E0761,E0761,243
E0762,E0762,243
E0764,E0764,243
E0765,E0765,243
E0766,E0766,243
E0769,E0769,243
E0770,E0770,243
E0776,E0776,243
E0779,E0779,243
E0780,E0780,243
E0781,E0781,243
E0782,E0782,243
E0783,E0783,243
E0784,E0784,243
E0785,E0785,243
E0786,E0786,243
E0791,E0791,243
E0830,E0830,243
E0840,E0840,243
E0849,E0849,243
E0850,E0850,243
E0855,E0855,243
E0856,E0856,243
E0860,E0860,243
E0870,E0870,243
E0880,E0880,243
E0890,E0890,243
E0900,E0900,243
E0910,E0910,243
E0911,E0911,243
E0912,E0912,243
E0920,E0920,243
E0930,E0930,243
E0935,E0935,243
E0936,E0936,243
E0940,E0940,243
E0941,E0941,243
E0942,E0942,243
E0943,E0943,243
E0944,E0944,243
E0945,E0945,243
E0946,E0946,243
E0947,E0947,243
E0948,E0948,243
E0950,E0950,243
E0951,E0951,243
E0952,E0952,243
E0953,E0953,243
E0954,E0954,243
E0955,E0955,243
E0956,E0956,243
E0957,E0957,243
E0958,E0958,243
E0959,E0959,243
E0960,E0960,243
E0961,E0961,243
E0962,E0962,243
E0963,E0963,243
E0964,E0964,243
E0965,E0965,243
E0966,E0966,243
E0967,E0967,243
E0968,E0968,243
E0969,E0969,243
E0970,E0970,243
E0971,E0971,243
E0972,E0972,243
E0973,E0973,243
E0974,E0974,243
E0975,E0975,243
E0976,E0976,243
E0977,E0977,243
E0978,E0978,243
E0979,E0979,243
E0980,E0980,243
E0981,E0981,243
E0982,E0982,243
