l,r,CCS
0359T,0374T,218
0375T,0375T,154
0376T,0376T,20
0377T,0377T,95
0378T,0380T,220
0381T,0386T,7
0387T,0388T,48
0389T,0391T,203
0392T,0393T,94
0394T,0395T,211
0396T,0396T,152
0397T,0397T,82
0398T,0398T,9
0399T,0399T,193
0400T,0401T,173
0402T,0402T,19
0403T,0403T,237
0404T,0404T,131
0405T,0405T,237
0406T,0407T,33
0408T,0416T,48
0417T,0418T,203
0419T,0420T,175
0421T,0421T,113
0422T,0422T,226
0423T,0423T,233
0424T,0433T,9
0434T,0436T,7
0437T,0437T,99
0438T,0438T,211
0439T,0439T,193
0440T,0442T,8
0443T,0443T,116
0444T,0445T,240
0446T,0448T,11
0449T,0450T,14
0451T,0461T,49
0462T,0463T,62
0464T,0464T,220
0465T,0465T,240
0466T,0468T,9
0469T,0469T,220
0470T,0471T,174
0472T,0473T,220
0474T,0474T,20
0475T,0478T,62
0479T,0480T,170
0481T,0481T,164
0482T,0482T,210
0483T,0484T,43
0485T,0486T,220
0487T,0487T,130
0488T,0488T,237
0489T,0492T,174
0493T,0493T,173
0494T,0496T,176
0497T,0498T,203
0499T,0499T,109
0500T,0500T,206
0501T,0504T,180
0505T,0505T,61
0506T,0507T,220
0508T,0508T,197
0509T,0509T,220
0510T,0511T,162
0512T,0513T,164
0514T,0514T,220
0515T,0520T,48
0521T,0522T,203
0523T,0523T,47
0524T,0524T,61
0525T,0527T,49
0528T,0529T,203
0530T,0532T,49
0533T,0536T,7
0537T,0537T,231
0538T,0539T,235
0540T,0540T,231
0541T,0542T,62
A0021,A0021,239
A0030,A0030,239
A0040,A0040,239
A0050,A0050,239
A0080,A0080,239
A0090,A0090,239
A0100,A0100,239
A0110,A0110,239
A0120,A0120,239
A0130,A0130,239
A0140,A0140,239
A0160,A0160,239
A0170,A0170,239
A0180,A0180,239
A0190,A0190,239
A0200,A0200,239
A0210,A0210,239
A0225,A0225,239
A0300,A0300,239
A0302,A0302,239
A0304,A0304,239
A0306,A0306,239
A0308,A0308,239
A0310,A0310,239
A0320,A0320,239
A0322,A0322,239
A0324,A0324,239
A0326,A0326,239
A0328,A0328,239
A0330,A0330,239
A0340,A0340,239
A0342,A0342,239
A0344,A0344,239
A0346,A0346,239
A0348,A0348,239
A0350,A0350,239
A0360,A0360,239
A0362,A0362,239
A0364,A0364,239
A0366,A0366,239
A0368,A0368,239
A0370,A0370,239
A0380,A0380,239
A0382,A0382,239
A0384,A0384,239
A0390,A0390,239
A0392,A0392,239
A0394,A0394,239
A0396,A0396,239
A0398,A0398,239
A0420,A0420,239
A0422,A0422,239
A0424,A0424,239
A0425,A0425,239
A0426,A0426,239
A0427,A0427,239
A0428,A0428,239
A0429,A0429,239
A0430,A0430,239
A0431,A0431,239
A0432,A0432,239
A0433,A0433,239
A0434,A0434,239
A0435,A0435,239
A0436,A0436,239
A0800,A0800,239
A0888,A0888,239
A0998,A0998,239
A0999,A0999,239
A4206,A4206,243
A4207,A4207,243
A4208,A4208,243
A4209,A4209,243
A4210,A4210,243
A4211,A4211,243
A4212,A4212,243
A4213,A4213,243
A4214,A4214,243
A4215,A4215,243
A4216,A4216,243
A4217,A4217,243
A4218,A4218,243
A4220,A4220,243
A4221,A4221,243
A4222,A4222,243
A4223,A4223,243
A4224,A4224,243
A4225,A4225,243
A4230,A4230,243
A4231,A4231,243
A4232,A4232,243
A4233,A4233,243
A4234,A4234,243
A4235,A4235,243
A4236,A4236,243
A4244,A4244,243
A4245,A4245,243
A4246,A4246,243
A4247,A4247,243
A4248,A4248,243
A4250,A4250,243
A4252,A4252,243
