cui,test
C0519746,170.0
C0519747,170.0
C3511871,170.0
C3517875,170.0
C3517874,170.0
C0519747,170.0
C0519747,170.0
C0519747,170.0
C0519747,170.0
C0519747,170.0
C0519747,170.0
C0519747,170.0
C4731956,173.0
C4731956,173.0
C4731956,173.0
C4731956,173.0
C4731956,173.0
C4731957,173.0
C4731958,173.0
C4731958,173.0
C4731957,173.0
C4731957,173.0
C4731960,173.0
C4731960,173.0
C4731961,173.0
C4731960,173.0
C4731960,173.0
C4731960,173.0
C4731962,173.0
C4731963,173.0
C4731964,173.0
C4731963,173.0
C4731962,173.0
C4731962,173.0
C4731966,173.0
C4731966,173.0
C4731966,173.0
C4731967,173.0
C4731966,173.0
C4731966,173.0
C4731968,173.0
C4731969,173.0
C4731969,173.0
C4731970,173.0
C4731968,173.0
C4731968,173.0
C0918051,232.0
C3511757,232.0
C3517719,232.0
C3517720,232.0
C3517721,232.0
C3517717,232.0
C3517722,232.0
C3517718,232.0
C0918051,232.0
C0918051,232.0
C0199063,232.0
C0199063,232.0
C0199063,232.0
C0199063,232.0
C0199063,232.0
C0370378,170.0
C3702618,170.0
C3517877,170.0
C0370378,170.0
C0370378,170.0
C0370378,170.0
C0370379,170.0
C0586954,170.0
C3517877,170.0
C0370379,170.0
C0370379,170.0
C0370379,170.0
C0198834,232.0
C0198834,232.0
C3517724,232.0
C3517723,232.0
C0198834,232.0
C0198834,232.0
C0370380,170.0
C3511874,170.0
C3517880,170.0
C3517883,170.0
C3704261,170.0
C3704254,170.0
C3704259,170.0
C3704256,170.0
C3704258,170.0
C3704263,170.0
C3704257,170.0
C3704262,170.0
C3704260,170.0
C3704255,170.0
C0370380,170.0
C0370380,170.0
C0370381,170.0
C3511875,170.0
C3517880,170.0
C3517883,170.0
C3704257,170.0
C3704266,170.0
C3704269,170.0
C3704254,170.0
C3704255,170.0
C3704256,170.0
C3704264,170.0
C3704265,170.0
C3704267,170.0
C3704268,170.0
C0370381,170.0
C0370381,170.0
C0370382,170.0
C3511876,170.0
C3517880,170.0
C3517883,170.0
C3704256,170.0
C3704270,170.0
C3704272,170.0
C3704274,170.0
C3704275,170.0
C3704273,170.0
C3704255,170.0
C3704257,170.0
C3704254,170.0
C3704271,170.0
C0370382,170.0
C0370382,170.0
C0370383,170.0
C3511877,170.0
C3517880,170.0
C3517883,170.0
C3704276,170.0
C3704255,170.0
C3704257,170.0
C3704254,170.0
C3704280,170.0
C3704256,170.0
C3704278,170.0
C3704277,170.0
C3704279,170.0
C3704281,170.0
C0370383,170.0
C0370383,170.0
C0370384,170.0
C3511878,170.0
C3517885,170.0
C3517891,170.0
C3517893,170.0
C3517887,170.0
C3517890,170.0
C3517889,170.0
C3517888,170.0
C3517884,170.0
C3517886,170.0
C3517892,170.0
C3704282,170.0
C0370384,170.0
C0370384,170.0
C0370384,170.0
C0370384,170.0
C0370384,170.0
C0370384,170.0
C0370384,170.0
C0370384,170.0
C0370384,170.0
C0370384,170.0
C0370384,170.0
C0370385,170.0
C3511879,170.0
C3517888,170.0
C3517886,170.0
C3517891,170.0
C3517885,170.0
C3517887,170.0
C3517893,170.0
C3517884,170.0
C3517889,170.0
C3517890,170.0
C3517892,170.0
C3704284,170.0
C3704287,170.0
C3704285,170.0
C3704289,170.0
C3704286,170.0
C3704283,170.0
C3704288,170.0
C3704290,170.0
C3704291,170.0
C3704292,170.0
C0370385,170.0
C0370385,170.0
C0370386,170.0
C3511880,170.0
C3517885,170.0
C3517891,170.0
C3517888,170.0
C3517893,170.0
C3517892,170.0
C3517884,170.0
C3517890,170.0
C3517886,170.0
C3517889,170.0
C3517887,170.0
C3704300,170.0
C3704297,170.0
C3704296,170.0
C3704301,170.0
C3704299,170.0
C3704295,170.0
C3704298,170.0
C3704294,170.0
C3704302,170.0
C3704293,170.0
C0370386,170.0
C0370386,170.0
C0370387,170.0
C3511881,170.0
C3517886,170.0
C3517887,170.0
C3517888,170.0
C3517892,170.0
C3517884,170.0
C3517890,170.0
C3517885,170.0
C3517889,170.0
C3517891,170.0
C3517893,170.0
C3683629,170.0
C3683692,170.0
C3683545,170.0
C3683402,170.0
C3683472,170.0
C3683403,170.0
C3683546,170.0
C3683630,170.0
C3683473,170.0
C3683693,170.0
C0370387,170.0
C0370387,170.0
C0370388,170.0
C3511882,170.0
C3517900,170.0
C3517903,170.0
C3517901,170.0
C3517895,170.0
C3517899,170.0
C3517905,170.0
C3517897,170.0
C3517898,170.0
C3517902,170.0
C3517896,170.0
C3517904,170.0
C3517894,170.0
C3704308,170.0
C3704305,170.0
C3704311,170.0
C3704314,170.0
C3704313,170.0
C3704310,170.0
C3704309,170.0
C3704303,170.0
C3704307,170.0
C3704312,170.0
C3704304,170.0
C3704306,170.0
C0370388,170.0
C0370388,170.0
C0370389,170.0
C3511883,170.0
C3517896,170.0
C3517895,170.0
C3517899,170.0
C3517902,170.0
C3517894,170.0
C3517903,170.0
C3517904,170.0
C3517901,170.0
C3517897,170.0
C3517905,170.0
C3517898,170.0
C3517900,170.0
C3704317,170.0
C3704315,170.0
C3704320,170.0
C3704316,170.0
C3704318,170.0
C3704319,170.0
C3704321,170.0
C3704322,170.0
C3704324,170.0
C3704323,170.0
C0370389,170.0
C0370389,170.0
C0370390,170.0
C3511884,170.0
C3517897,170.0
C3517902,170.0
C3517896,170.0
C3517905,170.0
C3517898,170.0
C3517901,170.0
C3517900,170.0
C3517903,170.0
C3517904,170.0
C3517899,170.0
C3517894,170.0
C3517895,170.0
C3704332,170.0
C3704326,170.0
C3704333,170.0
C3704325,170.0
C3704334,170.0
C3704330,170.0
C3704336,170.0
C3704335,170.0
C3704329,170.0
C3704327,170.0
C3704331,170.0
C3704328,170.0
C0370390,170.0
C0370390,170.0
C0370391,170.0
C3511885,170.0
C3517900,170.0
C3517898,170.0
C3517902,170.0
C3517894,170.0
C3517905,170.0
C3517901,170.0
C3517904,170.0
C3517896,170.0
C3517897,170.0
C3517899,170.0
C3517895,170.0
C3517903,170.0
C3704344,170.0
C3704345,170.0
C3704346,170.0
C3704340,170.0
C3704338,170.0
C3704342,170.0
C3704343,170.0
C3704337,170.0
C3704348,170.0
C3704347,170.0
C3704339,170.0
C3704341,170.0
C0370391,170.0
C0370391,170.0
C0199068,232.0
C3511758,232.0
C0199068,232.0
C0199068,232.0
C0199068,232.0
C0370392,170.0
C3511886,170.0
C0191641,170.0
C3704349,170.0
C3704353,170.0
C3704350,170.0
C3704351,170.0
C3704352,170.0
C0370392,170.0
C0370392,170.0
C0370393,170.0
C3511887,170.0
C0191641,170.0
C3704355,170.0
C3704352,170.0
C3704349,170.0
C3704354,170.0
C3704356,170.0
C0370393,170.0
C0370393,170.0
C0370394,170.0
C3511888,170.0
C0191641,170.0
C3704349,170.0
C3704357,170.0
C3704352,170.0
C3704358,170.0
C3704359,170.0
C0370394,170.0
C0370394,170.0
C0370395,170.0
C3511889,170.0
C0191641,170.0
C3704349,170.0
C3704360,170.0
C3704362,170.0
C3704352,170.0
C3704361,170.0
C0370395,170.0
C0370395,170.0
C0370396,170.0
C3511890,170.0
C0191641,170.0
C3704352,170.0
C3704349,170.0
C3704363,170.0
C3704365,170.0
C3704364,170.0
C0370396,170.0
C0370396,170.0
C0370397,170.0
C3511891,170.0
C0191641,170.0
C3704366,170.0
C3704349,170.0
C3704352,170.0
C3704367,170.0
C3704368,170.0
C0370397,170.0
C0370397,170.0
C0370398,170.0
C3511892,170.0
C2091479,170.0
C2091487,170.0
C2091483,170.0
C2091491,170.0
C2091481,170.0
C3704371,170.0
C3704370,170.0
C3704372,170.0
C3704369,170.0
C0370398,170.0
C0370398,170.0
C0370399,170.0
C3511893,170.0
C2091483,170.0
C2091491,170.0
C2091487,170.0
C2091481,170.0
C2091479,170.0
C3704375,170.0
C3704376,170.0
C3704373,170.0
C3704374,170.0
C0370399,170.0
C0370399,170.0
C0370400,170.0
C3511894,170.0
C2091487,170.0
C2091481,170.0
C2091483,170.0
C2091491,170.0
C2091479,170.0
C3704377,170.0
C3704378,170.0
C3704380,170.0
C3704379,170.0
C0370400,170.0
C0370400,170.0
C0370401,170.0
C3511895,170.0
C2091479,170.0
C2091481,170.0
C2091483,170.0
C2091491,170.0
C2091487,170.0
C3704384,170.0
C3704382,170.0
C3704383,170.0
C3704381,170.0
C0370401,170.0
C0370401,170.0
C0370402,170.0
C3511896,170.0
C2091483,170.0
C2091491,170.0
C2091481,170.0
C2091487,170.0
C2091479,170.0
C3704385,170.0
C3704386,170.0
C3704388,170.0
C3704387,170.0
C0370402,170.0
C0370402,170.0
C0370403,170.0
C3511897,170.0
C2091487,170.0
C2091479,170.0
C2091481,170.0
C2091491,170.0
C2091483,170.0
C3704390,170.0
C3704392,170.0
C3704391,170.0
C3704389,170.0
C0370403,170.0
C0370403,170.0
C0370404,170.0
C3511898,170.0
C2091475,170.0
C2091471,170.0
C2091469,170.0
C2091467,170.0
C2091473,170.0
C2091477,170.0
C3704398,170.0
C3704393,170.0
C3704397,170.0
C3704394,170.0
C3704395,170.0
C3704396,170.0
C0370404,170.0
C0370404,170.0
C0370405,170.0
C3511899,170.0
C2091469,170.0
C2091467,170.0
C2091471,170.0
C2091475,170.0
C2091473,170.0
C3704399,170.0
C3704403,170.0
C3704404,170.0
C3704401,170.0
C3704400,170.0
C3704402,170.0
C0370405,170.0
C0370405,170.0
C0370406,170.0
C3511900,170.0
C2091469,170.0
C2091467,170.0
C2091477,170.0
C2091475,170.0
C2091473,170.0
C2091471,170.0
C3704405,170.0
C3704407,170.0
C3704409,170.0
C3704410,170.0
C3704406,170.0
C3704408,170.0
C0370406,170.0
C0370406,170.0
C0370407,170.0
C3511901,170.0
C2091477,170.0
C2091467,170.0
C2091475,170.0
C2091473,170.0
C2091469,170.0
C2091471,170.0
C3704412,170.0
C3704411,170.0
C3704414,170.0
C3704415,170.0
C3704416,170.0
C3704413,170.0
C0370407,170.0
C0370407,170.0
C0370408,170.0
C3511902,170.0
C2091469,170.0
C2091473,170.0
C2091467,170.0
C2091471,170.0
C2091475,170.0
C2091477,170.0
C3704420,170.0
C3704421,170.0
C3704419,170.0
C3704417,170.0
C3704422,170.0
C3704418,170.0
C0370408,170.0
C0370408,170.0
C0370409,170.0
C3511903,170.0
C2091469,170.0
C2091475,170.0
C2091477,170.0
C2091471,170.0
C2091467,170.0
C2091473,170.0
C3704424,170.0
C3704423,170.0
C3704428,170.0
C3704426,170.0
C3704427,170.0
C3704425,170.0
C0370409,170.0
C0370409,170.0
C0370410,170.0
C3702619,170.0
C3517906,170.0
C3704429,170.0
C0370410,170.0
C3704430,170.0
C0370410,170.0
C0370410,170.0
